TG List Name,Contact1,Contact2,Contact3,Contact4,Contact5,Contact6,Contact7,Contact8,Contact9,Contact10,Contact11,Contact12,Contact13,Contact14,Contact15,Contact16,Contact17,Contact18,Contact19,Contact20,Contact21,Contact22,Contact23,Contact24,Contact25,Contact26,Contact27,Contact28,Contact29,Contact30,Contact31,Contact32
2650 N Lakeview,Site Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333 S Wabash,Site Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340 on the Park,Site Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3950 LSD,Site Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500 LSD CC10,Site Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625 N Mich,Site Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757 Orleans,Site Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875 N Mich Sec,Site Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA9VI TriState,Tri-State,Midwest Regional,Talk,Worldwide,North America,Worldwide English,Status,Disconnect,,,,,,,,,,,,,,,,,,,,,,,,
AMA Plaza,Site Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allegro Son2,Site Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allegro Sonesta,Site Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aon Building,Site Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aon Tower,Site Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCBS HQ,Site Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCBS IL HQ,Site Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAA Hotel Hskp,Site Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAA Hotel Sec,Site Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL Loop,Site Local,Local 1,Local 2,Illinois,MidWest Regional,TAC 310,Parrot,,,,,,,,,,,,,,,,,,,,,,,,,
CL Schaumburg,Site Local,Local 1,Local 2,Illinois,MidWest Regional,TAC 310,Parrot,,,,,,,,,,,,,,,,,,,,,,,,,
CTA Ops B,Site Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMR Smpx A,DMR Simplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMR Smpx B,DMR Simplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSS SnowOps,Site Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delivery DMR,Site Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD1 All,Local 99,Eric M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD2 Team A,Local 99,Eric M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD3 Team B,Local 99,Eric M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD4 Team C,Local 99,Eric M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPDCC DMR,Site Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HS 4304125,DMR Simplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HS 4304250,DMR Simplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HS 4304375,DMR Simplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HS 4304500,DMR Simplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HS 4304625,DMR Simplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HS 4304750,DMR Simplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HS 4394125,DMR Simplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HS 4394250,DMR Simplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HS 4394375,DMR Simplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HS 4394500,DMR Simplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HS 4394625,DMR Simplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
