No.,Channel Name,Channel Type,RX Frequency[MHz],TX Frequency[MHz],Power,Band Width,Scan List,TX Admit,Emergency System,Squelch Level,APRS Report Type,Forbid TX,APRS Receive,Forbid Talkaround,Auto Scan,Lone Work,Emergency Indicator,Emergency ACK,Analog APRS PTT Mode,Digital APRS PTT Mode,TX Contact,RX Group List,Color Code,Time Slot,Encryption,Encryption ID,APRS Report Channel,Direct Dual Mode,Private Confirm,Short Data Confirm,DMR ID,CTC/DCS Decode,CTC/DCS Encode,Scramble,RX Squelch Mode,Signaling Type,PTT ID,VOX Function,PTT ID Display
1,Channel 1,Digital,430.01250,430.01250,High,12.5KHz,None,Always,None,3,Digital,0,0,0,0,0,0,0,0,0,Contacts 1,RX Group 1,1,Slot 1,0,None,1,0,0,0,Radio 1,None,None,None,Carrier/CTC,None,OFF,0,0
2,Channel 2,Digital,432.22500,432.22500,High,12.5KHz,None,Always,None,3,Off,0,0,0,0,0,0,0,0,0,Contacts 1,RX Group 1,1,Slot 1,0,None,1,0,0,0,Radio 1,None,None,None,Carrier/CTC,None,OFF,0,0
3,Channel  3,Digital,434.42500,434.42500,High,12.5KHz,None,Always,None,3,Off,0,0,0,0,0,0,0,0,0,Contacts 1,RX Group 1,1,Slot 1,0,None,1,0,0,0,Radio 1,None,None,None,Carrier/CTC,None,OFF,0,0
4,Channel  4,Digital,436.62500,436.62500,High,12.5KHz,None,Always,None,3,Off,0,0,0,0,0,0,0,0,0,Contacts 1,RX Group 1,1,Slot 1,0,None,1,0,0,0,Radio 1,None,None,None,Carrier/CTC,None,OFF,0,0
5,Channel  5,Digital,438.82500,438.82500,High,12.5KHz,None,Always,None,3,Off,0,0,0,0,0,0,0,0,0,Contacts 1,RX Group 1,1,Slot 1,0,None,1,0,0,0,Radio 1,None,None,None,Carrier/CTC,None,OFF,0,0
6,Channel 6,Digital,144.02250,144.02250,High,12.5KHz,None,Always,None,3,Off,0,0,0,0,0,0,0,0,0,Contacts 1,RX Group 1,1,Slot 1,0,None,1,0,0,0,Radio 1,None,None,None,Carrier/CTC,None,OFF,0,0
7,Channel 7,Digital,144.12500,144.12500,High,12.5KHz,None,Always,None,3,Off,0,0,0,0,0,0,0,0,0,Contacts 1,RX Group 1,1,Slot 1,0,None,1,0,0,0,Radio 1,None,None,None,Carrier/CTC,None,OFF,0,0
8,Channel 8,Digital,145.52500,145.52500,High,12.5KHz,None,Always,None,3,Digital,0,0,0,0,0,0,0,0,0,Contacts 1,RX Group 1,1,Slot 1,0,None,1,0,0,0,Radio 1,None,None,None,Carrier/CTC,None,OFF,0,0
9,Channel 9,Digital,145.97500,145.97500,High,12.5KHz,None,Always,None,3,Off,0,0,0,0,0,0,0,0,0,Contacts 1,RX Group 1,1,Slot 1,0,None,1,0,0,0,Radio 1,None,None,None,Carrier/CTC,None,OFF,0,0
10,Channel 10,Analog,431.12500,431.12500,High,25KHz,None,Allow TX,None,3,Off,0,0,0,0,0,0,0,0,0,None,None,1,Slot 1,0,None,1,0,0,0,Radio 1,None,None,None,Carrier/CTC,None,OFF,0,0
11,Channel 11,Analog,433.32500,433.32500,High,25KHz,None,Allow TX,None,3,Off,0,0,0,0,0,0,0,0,0,None,None,1,Slot 1,0,None,1,0,0,0,Radio 1,None,None,None,Carrier/CTC,None,OFF,0,0
